,基金代码,基金简称,类型,2020-10-22-单位净值,2020-10-22-累计净值,2020-10-22-单位净值,2020-10-22-累计净值,增长值,增长率,市价,折价率
192,150325,工银中证高铁产业指数分级A行情,固定收益,---,---,1.0440,1.2910,---,---,1.0310,---
193,150270,招商中证白酒指数分级B行情,分级杠杆,---,---,1.1155,4.1232,---,---,1.1750,---
194,150278,鹏华高铁分级B行情,分级杠杆,---,---,0.6580,0.0300,---,---,0.6590,---
195,159945,广发中证全指能源ETF行情,ETF-场内,---,---,0.5705,0.5705,---,---,0.5760,---
196,150243,鹏华创业板分级A行情,固定收益,---,---,1.0150,1.2450,---,---,0.9930,---
197,150307,富国中证体育产业指数分级A行情,固定收益,---,---,1.0360,1.2420,---,---,1.0040,---
198,159961,方正富邦深证100ETF行情,ETF-场内,---,---,2.0287,2.0287,---,---,2.0180,---
199,512260,华安中证低波动ETF行情,ETF-场内,---,---,1.3888,1.3888,---,---,1.3840,---
200,510550,方正富邦中证500ETF行情,ETF-场内,---,---,1.5475,1.5475,---,---,1.5450,---
201,512770,华夏战略新兴成指ETF行情,ETF-场内,---,---,1.8310,1.8310,---,---,1.8180,---
202,159960,平安港股通恒生中国企业ETF行情,ETF-场内,---,---,0.9656,0.9656,---,---,0.9610,---
203,512400,南方中证申万有色金属ETF行情,ETF-场内,---,---,0.8095,0.8095,---,---,0.8060,---
204,512040,富国中证价值ETF行情,ETF-场内,---,---,1.4912,1.4912,---,---,1.4840,---
205,512920,新华MSCI中国A股国际ETF行情,ETF-场内,---,---,1.6705,1.6705,---,---,1.6760,---
206,511020,平安中证5-10年国债活跃券ETF行情,ETF-场内,---,---,103.4744,1.0447,---,---,103.2020,---
207,512870,南华中证杭州湾区ETF行情,ETF-场内,---,---,1.6618,1.6618,---,---,1.6480,---
208,502024,鹏华钢铁分级A行情,固定收益,---,---,1.0060,1.2390,---,---,1.0010,---
209,510360,广发沪深300ETF行情,ETF-场内,---,---,1.6162,1.6162,---,---,1.6110,---
210,510390,平安沪深300ETF行情,ETF-场内,---,---,5.1583,1.2344,---,---,5.1430,---
211,159954,南方恒生中国企业ETF行情,QDII-ETF,---,---,0.9338,0.9338,---,---,0.9300,---
212,511310,富国中证10年期国债ETF行情,ETF-场内,---,---,110.5370,1.1054,---,---,111.4880,---
213,512360,平安MSCI中国A股国际ETF行情,ETF-场内,---,---,1.5286,1.5286,---,---,1.5160,---
214,150296,南方中证国有企业改革分级B行情,分级杠杆,---,---,1.3530,---,---,---,1.3320,---
215,150263,华宝中证1000指数分级A行情,固定收益,---,---,1.0470,1.2990,---,---,1.0170,---
216,150300,华安中证银行指数分级B行情,分级杠杆,---,---,0.8101,0.8101,---,---,0.8090,---
217,150283,申万菱信申万医药生物分级A行情,固定收益,---,---,1.0149,---,---,---,1.0040,---
218,150247,工银中证传媒指数分级A行情,固定收益,---,---,1.0440,1.3029,---,---,1.0180,---
219,150264,华宝中证1000指数分级B行情,分级杠杆,---,---,0.9824,0.0350,---,---,1.0800,---
220,150176,银华恒生国企指数分级B行情,分级杠杆,---,---,0.7902,---,---,---,0.7980,---
221,159948,南方创业板ETF行情,ETF-场内,---,---,2.8457,1.3984,---,---,2.8190,---
222,512700,南方中证银行ETF行情,ETF-场内,---,---,1.1710,1.2710,---,---,1.1670,---
223,512960,博时央企结构调整ETF行情,ETF-场内,---,---,1.0457,1.0457,---,---,1.0410,---
224,512950,华夏中证央企ETF行情,ETF-场内,---,---,1.0509,1.0509,---,---,1.0470,---
225,512890,华泰柏瑞中证低波动ETF行情,ETF-场内,---,---,1.3312,1.3312,---,---,1.3250,---
226,159959,银华中证央企结构调整ETF行情,ETF-场内,---,---,1.1023,1.1023,---,---,1.0990,---
227,513680,建信港股通恒生中国ETF行情,ETF-场内,---,---,0.9094,0.9094,---,---,0.9040,---
228,512150,汇安富时中国A50ETF行情,ETF-场内,---,---,1.6422,1.6422,---,---,1.6370,---
229,150299,华安中证银行指数分级A行情,固定收益,---,---,1.0469,1.2996,---,---,1.0290,---
230,150237,鹏华环保分级A行情,固定收益,---,---,1.0440,1.2450,---,---,1.0140,---
231,150287,中融国证钢铁行业指数分级A行情,固定收益,---,---,1.0470,1.2970,---,---,1.0260,---
232,159955,嘉实创业板ETF行情,ETF-场内,---,---,1.4609,1.4609,---,---,1.4460,---
233,150273,鹏华一带一路分级A行情,固定收益,---,---,1.0060,1.2510,---,---,0.9740,---
234,150272,招商国证生物医药指数分级B行情,分级杠杆,---,---,0.9951,0.7857,---,---,1.8600,---
235,150290,中融中证煤炭指数分级B行情,分级杠杆,---,---,0.7090,0.1760,---,---,0.7130,---
236,502042,长盛上证50指数分级B行情,分级杠杆,---,---,1.1610,---,---,---,1.1210,---
237,502037,大成中证互联网金融指数分级A行情,固定收益,---,---,1.0466,---,---,---,1.0260,---
238,150336,融通军工分级B行情,分级杠杆,---,---,1.3170,0.3460,---,---,1.2800,---
239,150302,华安中证全指证券公司分级B行情,分级杠杆,---,---,1.4187,0.1224,---,---,1.4240,---
240,511270,海富通上证10年期ETF行情,ETF-场内,---,---,104.8604,1.1038,---,---,103.9180,---
241,150238,鹏华环保分级B行情,分级杠杆,---,---,0.9800,0.3200,---,---,0.9930,---
242,510560,国寿安保中证500ETF行情,ETF-场内,---,---,1.3701,0.6344,---,---,1.3610,---
243,159938,广发中证全指医药卫生ETF行情,ETF-场内,---,---,2.0872,2.0872,---,---,2.0550,---
244,512590,浦银安盛中证高股息ETF行情,ETF-场内,---,---,1.3676,1.3676,---,---,1.3530,---
245,511030,平安中债债利差因子ETF行情,ETF-场内,---,---,104.9199,1.0582,---,---,104.7990,---
246,159963,富国恒生中国企业ETF行情,ETF-场内,---,---,0.9293,0.9293,---,---,0.9270,---
247,512270,华安行业中性低波动ETF行情,ETF-场内,---,---,1.0867,1.0867,---,---,1.0850,---
248,150295,南方中证国有企业改革分级A行情,固定收益,---,---,1.0444,---,---,---,1.0270,---
249,502007,易方达国企改革指数分级A行情,固定收益,---,---,1.0162,---,---,---,1.0120,---
250,159919,嘉实沪深300ETF行情,ETF-场内,---,---,4.7884,2.0973,---,---,4.7710,---
251,512580,广发中证环保ETF行情,ETF-场内,---,---,1.0351,1.0351,---,---,1.0340,---
252,512800,华宝中证银行ETF行情,ETF-场内,---,---,1.1243,1.1243,---,---,1.1210,---
253,150257,易方达生物分级A行情,固定收益,---,---,1.0110,---,---,---,0.9830,---
254,150288,中融国证钢铁行业指数分级B行情,分级杠杆,---,---,0.7870,0.0290,---,---,0.7750,---
255,159962,华夏中证四川国改ETF行情,ETF-场内,---,---,1.3425,1.3425,---,---,1.3360,---
